web-scraper-order,web-scraper-start-url,link,link-href,Job Title,Company,Time,Skill,Persyaratan,Job Desc,Location
"1726208569-1","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/staff-engineer/f32f4b61-a6ed-4f81-8d61-1834d3522ad1?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","STAFF ENGINEER","PT. Dharma Karyatama Mulia","Penuh Waktu · Kerja di kantor","SkillsCommunication SkillsElectricity","PersyaratanKerja di kantor3 - 5 tahun pengalamanMinimal Diploma (D1 - D4)25-35 tahunLaki-laki saja","Kualifikasi:- Pria- Pendidikan min D3 jurusan Teknik Sipil- Memiliki pengalaman min 3 th di bidang terkait- Mampu untuk menghitung RAB dan membuat KAK (Kerangka Acuan Kerja) Sipil- Dapat mengoperasikan Ms. Office- Can join ASAP","Alamat kantorJl. Raya Bogor KM. 29, Gandaria Pasar Rebo"
"1726208571-2","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/frontend-engineer/7af0adf8-9352-4805-83c8-221188a72122?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Frontend Engineer","‪Ihsan Solusi","Kontrak · Hybrid","SkillsFrontend DevelopmentTypeScript","PersyaratanHybrid3 - 5 tahun pengalamanMinimal SMA/SMK","Requirements :Minimum 3  years experience Mastering NextJs/ReactJSMastering TypescriptFamiliar working in digital financeAble to work in a teamAble to provide solutions to the desired requirementsAble to work under pressureReady to be placeds in ou banking industry in Jakarta","Alamat kantorJL PHH Mustofa 39, Surapati Core C-7.Pasirlayung, Kec. Cibeunying Kidul, Kota Bandung, Jawa Barat 40192"
"1726208574-3","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/teknisi-mechanical-electrical-plumbing-industry/a5638760-a5f4-42bb-80a8-fde247ca9f7a?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Teknisi Mechanical Electrical Plumbing Industry","PT Harjaya Mapan Sentosa","Penuh Waktu · Kerja di kantor","SkillsIndustrial Engineering","PersyaratanKerja di kantor1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)Laki-laki saja","Pendidikan Minimal D3 Jurusan Teknik MEP, ListrikSetidaknya memiliki 2 Tahun pengalaman di bidang yang dibutuhkan untuk posisi ini.Paham mengenai listrik, pipa.Terbiasa kerja lapanganMemiliki SIM A

Deskripsi Pekerjaan :
Mampu mengoperasikan, merawat, instalasi, menerapkan dan mereparasi (Mesin pompa air, filter air, water treatment, instalasi perpipaan industri)Berpengalaman di bidang WTP, WWTP skala besar (Industri)Menguasai PLC (Arus Kuat listrik)Menguasasi pengeboran, dan gerindaMenguasai MEP (Mechanical, Electrical and Plumbing)Mampu bekerja dalam team work dan mandiriDiutamakan Domisili Jakarta, Tangerang, Bekasi","Alamat kantorJl. Veteran Lingkar Timur, Pergudangan CIP Blok Gamma No 5, Sidoarjo"
"1726208576-4","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/site-engineer-engineer-hvac/06935e47-40b0-4a6b-aed8-5348dc30ece1?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","SITE ENGINEER / ENGINEER HVAC","PT. Alfa Omega Tekindo Utama","Penuh Waktu · Kerja di kantor","SkillsProject ManagementSketchProject CoordinationHVACProject PlanningAutoCAD","PersyaratanKerja di kantor1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)","SITE ENGINEER / ENGINEER HVAC
Persyaratan:Pendidikan minimal SMA/SMK, D3, S1 dari jurusan yang relevanLulusan Politeknik dari jurusan Teknik Pendingin dan Tata Udara lebih disukaiBerpengalaman 1-2 tahun sebagai Site Supervisor / Engineer HVAC (di perusahaan HVAC)Pemahaman yang baik tentang instalasi HVAC, shop drawing, arsitektur, sipil, dan MEPTerbiasa dengan Software AutoCAD dan SketchUp Cekatan, komunikatif dan mampu bekerja dalam tim
Tanggung Jawab:Melaksanakan survei proyekMengontrol pelaksanaan operasional pelaksanaan proyekMengawasi dan memonitor segala kegiatan yang ada di proyekBerkoordinasi dengan pihak internal maupun eksternal Mengawasi jalannya proses instalasi (desain, ukuran, bahan, waktu)Mengawasi realisasi RAB di lapanganMelakukan investigasi (indikasi) penyimpanganMelakukan evaluasi kinerja subkontraktorMelakukan pemeriksaan dan memproses berita acara pekerjaan di lapangan dengan pihak proyekMenerapkan program keselamatan kerja dan kebersihan di lapangan

URGENTLY NEEDED!! 
- Site Engineer / Engineer HVAC- Drafter HVAC - Estimator HVAC
📍 Kirim Langsung CV/Resume Anda ke Kantor Kami yang beralamat di: Jl. Boulevard il lago, Ruko Mendrisio 3 Blok C10 Gading Serpong, Kel. Cihuni, Kec. Cihuni, Kec. Pagedangan, Kab. Tangerang, Banten 15332 
PT. Alfa Omega Tekindo Utama adalah salah satu perusahaan Air Conditioning [HVAC] Terkemuka di JABODETABEK yang sedang berkembang pesat. Oleh karena itu, kami membutuhkan tim ahli yang berkompeten dibidangnya. 
💫 Akselerasi Karir Kamu Sekarang, Dengan Bergabung Bersama Kami. Salam Sukses, PT. Alfa Omega Tekindo Utama","Alamat kantorRUKO MENDRISIO 3 BLOK C 10 GADING SERPONG, Kel. Cihuni, Kec. Pagedangan, Kab. Tangerang, Prov. Banten"
"1726208581-5","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/software-engineer-programmer/6dffbcd7-2343-4f26-9472-b16fc033aab3?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Software Engineer/Programmer","Simpul Technologies","Penuh Waktu · Remote/Dari rumah","SkillsNode.jsHTML5Ruby on RailsGIT","PersyaratanRemote/Dari rumah1 - 3 tahun pengalamanMinimal SMA/SMK","Join our exciting Tech Team as a Full-Stack Software Engineer. Our team builds wonderful Enterprise Tech platform. You will be part of a talented software team that works on impactful enterprise-level applications.

Software Engineer roles and responsibilities include contributing to web-based application development, while providing expertise in the full software development lifecycle, from concept and design to testing.

Job Description
- Produce fully functional programs writing clean, testable code
Integrate backend data
- Create user interface and web layout using HTML / CSS / modern JS
- Bug Fixing
- Proactively communicate with the U.S. counterpart and internal team about project requirements and task progression

Minimum Requirements
- Bachelor’s Degree in Computer Science or equivalent from a reputable university
- Excellent understanding of at least one of the following languages: Javascript, Ruby, or Python
- Some understanding of Git
- Grit to learn & adapt to new concepts/technologies
- Humility to accept & give constructive, critical feedback
- Proficient verbal and written English skills

Nice-to-Haves
- Experience in Ruby on Rails/ReactJS/VueJS development
- Comfortable with UNIX / Linux environment
- Knowledge of MVC Architecture
- Good understanding of OO design pattern
- Experience in building RESTful API
- Hands-on experience in developing and launching software applications
- Amazing portfolio of impactful work

Perks
- Creativity-Inducing Workplace
- Paid Vacation Leave
- Medical Insurance
- Social Security Benefit
- Bereavement/Family Leave
- Maternity & Paternity Leave",""
"1726208586-6","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/supervisor-mechanical-project-data-centre/c505c660-5140-4940-8b0c-0dbe9a5b5e58?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Supervisor Mechanical Project Data Centre","PT HANUGRA REKANUSA","Penuh Waktu · Hybrid","SkillsMechanicalEngineerAutoCAD","PersyaratanHybrid5 - 10 tahun pengalamanMinimal Sarjana (S1)Laki-laki saja","Bachelor Degree (S1) in Mechanical EngineerMinimum 5 years experience as Mechanical Supervisor Have completed 1 No Data Center Tier 3 as Mechanical Supervisor  Registered As Indonesia Qualified Professional Engineer (PII – IPM or Higher)Fire Fighting Systen Fire Sprinkler, Fire Hydrant, Stand Pipe, etcPlumbing & SanitaryMVAC such as chiller, ventilation, etc Have a basic knowledge for LEED materials related to MEP scope of workHave strong knowledge & Implementation of in local & international regulation and Mechanical Codes Placement in Site","Alamat kantorSahid Sudirman Center, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia"
"1726208591-7","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/port-engineer-marine-technical-superintendent-teknisi-kapal/fac02f62-1fde-4045-9709-16c7b81cc3ba?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Port Engineer/ Marine Technical Superintendent (Teknisi Kapal)","PT Armada Cakrawala Esa","Penuh Waktu · Kerja di kantor","SkillsTechnicianMarine EngineeringShippingMarine Industry","PersyaratanKerja di kantor1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)","QualificationIjazah Laut Minimal ATT III atau ATT II, atau S1 Teknik PerkapalanDiutamakan lulusan institusi pelayaranPengalaman sebagai Chief Engineer di kapal Harbour Tug dan Crew Boat, atau sebagai Port Engineer/Marine Superintendent di Perusahaan PelayaranMemiliki pengetahuan tentang SOLAS, ISM Code, Class Survey, dan AuditMemiliki pengetahuan tentang alat-alat dan mesin kapalMemiliki kemampuan untuk melaksanakan perbaikan dan troubleshooting terhadap kendala di Engine RoomBersedia bila harus mengikuti kapal berlayar untuk memastikan performa mesin dan kapal, serta melakukan PMSBersedia bila melakukan Perjalanan Dinas Dalam dan Luar NegeriDiutamakan Domisili Surabaya
Job DescriptionsMelakukan PMS (Planned Maintenance System) dan memastikan PMS berjalan untuk semua armadaMelakukan perbaikan besar dan kecil terhadap alat dan mesin yang berada di kapalMonitor dan control critical spare part, permintaan kapal, dan inventaris kapalMelakukan inspeksi rutin terhadap kelayakan permesinan kapal, kebersihan kamar mesin kapal, dan perbaikan kapalMelakukan supervisi docking kapal, rencana kerja overhaul, repair listsMengawasi pemakaian konsumsi BBM dan Lube Oil","Alamat kantorHarbour Nine Block C 15, Jalan Gresik No. 16, Perak Barat, Surabaya, East Java 60177"
"1726208594-8","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/mechanic/29464ee4-256c-49e2-b4c5-dae425e1619a?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Mechanic","Autoz Rent Car Bali","Penuh Waktu · Kerja di kantor","SkillsResponsibleMechanical","PersyaratanKerja di kantor1 - 3 tahun pengalamanMinimal SMA/SMK18-30 tahunLaki-laki saja","- Pria
- Berdomisili di Bali
- Lulusan SMK Otomotif
- Pengalaman minimal 1 tahun dibidangnya
- Menguasai perbaikan mesin, sistem kelistrikan, dan komponen mekanik lainnya
- Kemampuan bekerja secara mandiri/tim
- Diutamakan yang mau tinggal di mess","Alamat kantorGg. Pucuk Merah No.5, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361"
"1726208597-9","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/mechanical-senior-heavy-equipment/e439cc65-764a-42f0-8f45-4209efc477a2?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Mechanical Senior Heavy Equipment","PT APTI ADHI ANANTA","Penuh Waktu · Kerja di kantor","SkillsMechanicalMaterial HandlingTeamwork","PersyaratanKerja di kantor1 - 3 tahun pengalamanMinimal Diploma (D1 - D4)Laki-laki saja","Kualifikasi :Usia maks. 40 tahunPendidikan Min D3/SederajatMemiliki pengalaman 5 tahun yang sama pada dealer alat berat/ Material Handling Equipment (Lifting / Forklift) Kemampuan Berbahasa Inggris Menguasai pengoperasian Microsoft OfficeMemiliki motivasi diri, komunikasi, inisiatif, negotiation skill, serta target oriented","Alamat kantorJakarta Utara"
"1726208599-10","https://glints.com/id/opportunities/jobs/explore?keyword=mechanical+engineer&country=ID&locationName=All+Cities%2FProvinces&lowestLocationLevel=1&page=3","","https://glints.com/id/opportunities/jobs/engineer/cd915d0a-a903-4027-a433-f4df41eaf6b7?utm_referrer=explore&traceInfo=df98b2247dec504cb68f038095c44d74","Engineer","PT. Santosa Asih Jaya","Penuh Waktu · Kerja di kantor","SkillsProblem Solving SkillsAttention to DetailCommunication Skills","PersyaratanKerja di kantor5 - 10 tahun pengalamanMinimal Sarjana (S1)28-50 tahun","Job Description: - Melakukan inspeksi lokasi/supervise- Membuat rencana kerja proyek, diantaranya: gambar, jadwal, kebutuhan material dan peralatan- Membuat laporan progres proyek- Menjabarkan proyek menjadi sebuah timeline rinci- Membuat laporan atau progress pekerjaan- Membuat opname subcon dan mandor- Menyiapkan tim, material, dan tools yang diperlukan- Memastikan proyek berjalan sesuai rencana dan anggaran- Memastikan proyek dilakukan sesuai SOP perusahaan dan undang-undang- Mengawasi penerapan protokol keselamatan- Memantau perubahan desain dan menilai dampaknya bagi proyek
Kualifikasi: - Pendidikan Min. S1 Teknik Sipil- Memiliki pengalaman 6 tahun di bidang yang sama- Dapat menggunakan AutoCAD, Sketchup- Memiliki interpersonal dan komunikasi yang baik- Disiplin, detail dan jujur- Kemampuan Problem Solving Skill yang baik","Alamat kantorGraha Zima , Block C No. 5 Jl. Raya TB Simatupang Jakarta Timur  13760 Indonesia"
