web-scraper-order,web-scraper-start-url,link,link-href,linked,linked-href,Job Title,Company,Time,Job Desc,Kualifikasi
"1726207267-1","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78118701?type=standout&ref=search-standalone&origin=jobCard#sol=b6ad4d38ec836a94c9a80579e4f0defc90c96c75","MECHANICAL ENGINEERING","PT. WAI HING INDUSTRIAL INDONESIA","Full time","",""
"1726207269-2","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78639650?type=standard&ref=search-standalone&origin=jobCard#sol=0d60198153e89ed70aecd8e8da562218a8385b2f","Mechanical Desain Engineer","PT Mitra Karya Sarana","Full time","",""
"1726207272-3","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78696054?type=standout&ref=search-standalone&origin=jobCard#sol=bc7ff833e7c04bdc166467f951d014247e5cd159","Mechanical Technician Leading Hand","PT Sinar Meadow International Indonesia","Full time","",""
"1726207274-4","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78653679?type=standout&ref=search-standalone&origin=jobCard#sol=770b17620397091d63f01f29650ea1d986aef1d9","Project Manager for Electrical, Civil, Piping & Mechanical Erection","PT Sepuluh Sumber Anugrah","Full time","",""
"1726207276-5","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78638833?type=standout&ref=search-standalone&origin=jobCard#sol=5c067b4a2be0e548db0a4e42ae9f0e16f03191a9","INDUSTRIAL ENGINEER","PT Mattel Indonesia","Full time","",""
"1726207278-6","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78742106?type=standout&ref=search-standalone&origin=jobCard#sol=5684b7360ed2ffe264a598652c0d2dcfa327802a","Manager HVAC Engineer Data center","PT YPTT Solutions Indonesia","Full time","",""
"1726207281-7","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78814528?type=standout&ref=search-standalone&origin=jobCard#sol=077b915d9e48bf26bcb3423d07362ad49e318e9a","3D Product Design Staff - Footwear Design","PT. framas Indonesia","Full time","",""
"1726207283-8","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78752753?type=standard&ref=search-standalone&origin=jobCard#sol=02853d923ba9f4db6203defdcfc31df2700c489a","Sales Mechanical & Electrical","","Full time","",""
"1726207286-9","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78685291?type=standout&ref=search-standalone&origin=jobCard#sol=82196439544b73d224e33e49a1b2ccc28194614e","Maintenance Technician/ Engineering","Tuan Nagani Paradise","Kontrak","",""
"1726207288-10","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78679520?type=standout&ref=search-standalone&origin=jobCard#sol=61aae95fa8b4bf33dfca549128c2a6d64dafa730","MECHANICAL ENGINEER (MAINTENANCE)","PT Cleanvy Asalta Indonesia","Full time","",""
"1726207290-11","https://id.jobstreet.com/id/mechanical-jobs","3","https://id.jobstreet.com/id/mechanical-jobs?page=3","","https://id.jobstreet.com/id/job/78680489?type=standout&ref=search-standalone&origin=jobCard#sol=f70e998a70d3817b271bdf61ea55129f9a498fa7","Supervisor Maintenance","PT Vaksindo Satwa Nusantara","Full time","",""
