web-scraper-order,web-scraper-start-url,Link,Link-href,Job_Title,Location,when,work_place_and_other,Requirement,Skill
"1726207234-1","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic Heavy Equipment – FieldMechanic Heavy Equipment – Field","https://www.linkedin.com/jobs/view/3977667945/?eBP=CwEAAAGR6d_yyxYlQbvYdXXCcFIgSpJJ4Lhe16-A5shlKPfgWdSVP9ZBw_XF0Z6S8tK8GHAyOrzxF_SoCB0OjeJ9W1ribmMmUZl0uRHhMocNmtsM-IISecoG-4Px0cbteHJrQDnxsXaaAONLTDFyEV5PWG-sNuDmh0EEcQvrRv5FseG6p6OcZzWSLKTZQIPYlCgYOL-xLFnNxV9eXYKDfrypmEnrSHj-Rcat9VaJunYdbJZ4tnZZpQTbIjpR1yp6-9iC_or5dAoHzIP05twGJrwyOsJjh-0rp008IqupOh2j1EFHsSNLgMnM2Un5A_HyttRWj40TAgTsSi8D7S-xNcdLkubpoY1EPcY_f7gRSToeC1KknZbUt7dh8nBMe5IUkIl_JIwxZn8zi6nLMSmVW37_PejCFfteH0tSa1oyH5-D5v1jv9l9sXXOlcYdYVrVVmLvKUqgPoPe0fkkQ3A0B0pvqN0&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=G4tdXFjLFb4G7oTWA88sXw%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Heavy Equipment – Field","Jakarta, Jakarta, Indonesia","1 month ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","",""
"1726207275-2","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic Tyre / Tyre ManMechanic Tyre / Tyre Man","https://www.linkedin.com/jobs/view/3977672444/?eBP=CwEAAAGR6d_yy3yFLHz0hqHuh3n8lbexaGn6UyteH91T7lpFwnt6LV68jpdUfkwyhIU_c4V_S8e_wiCZvrDxQzhwW9kV17M-8uXsrSAhrL_epLfosisZDsflwgIcIRSoRaQbtVmVhZOuz5QSFWuZFez4d1-DNBTMtqMmgmtouhg1pxKIZCmiMJpqBQUAmv7sjHa9KrsyE_VDapCmLxZa6_3w6TqHrN7Ov3U0PdgyDekhQrqIIknJV-xIVK5u7u23hp9gxHS9Tpf1cAMM7-kJxj8uzkoEknJ2sEY9DCvA5n4lgZWhJ-Dj_Jx3XXVTufysmWY-z4exLH5XG-Q5NOYDYQMclAe7Lv_cRJSs2ozQqXf1f1xxhHOfJrbOiiZ-dqDDJmm3Mh1_fjKpXIqco20jkYj4Ali2B4SGxvyUEDJzBLw_wmku0X7X3mlb0KD17Rl1dDm_QM9Qda9YjQnYKo8qfHwzHbw&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=pKVlfyvb4oqYF4ozYxLuoQ%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Tyre / Tyre Man","Jakarta, Jakarta, Indonesia","1 month ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","",""
"1726207318-3","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic InspectMechanic Inspect","https://www.linkedin.com/jobs/view/3977668802/?eBP=CwEAAAGR6d_yy9xlhNH1R5lPOKRtyq2g8MKTKkD27QrBUZgt-r73WH49WroNthPb5jNaaW8F8NDTHiiq4236RAgSwrCbDKrAJto6-ysgJ9fXHt6ZhXxATOx908sVKbK2HpDAXRv1RaC3XNfQX8VTSe_xW4inlgINx9xBlGyHVwTOe18gZglyluQi9_Olwih-dGNzqkwW0Dzct7JNADDTZdIfwewa6ftQ-OQ1HpI0ApubJKxTiTMbf-tdy_9GfLqgfTXQQVz2AN4H-JPv-7CscM37X3g2UIbqHnC0d9qn04e3yQ6xJYplIsvhxKozLD9y-710IzUcywhUbZJC57gQyMNbRxfjhGqUfQmxmMdf8n_rUUTaYlmF5oLTCXCi1jUdNdctYCLUCYYn8JwwJ9ujjd3rJj5ZOxJeJIh2_3Rj8FMHF28bUbpVhv3r8j6XAVal-95nCXxdyzOlG5ZCqw5gMEppS4k&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=vNvVFrV1C9JlL4uRa1%2BXFA%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Inspect","Jakarta, Jakarta, Indonesia","1 month ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","",""
"1726207359-4","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic ServiceMechanic Service","https://www.linkedin.com/jobs/view/3977670562/?eBP=CwEAAAGR6d_yy9YRtnyq3FdD-iVnZD5z0z0LWiAwGO6mHZy04DsT7OtK3ssrEF0unG2Xtz9rxZqM1BwExERShNKgcyU_EGfICzZbULCxyZ28lSFr8mnPH-1SKoTxcKeNV_rGZIDaJftVQAWn3otAFVglJkBNAKOMsuEnVm75F9P9HnY-w9PbEeqNPrTgwDTGezpEvB9NQqjpGYIksteXymkUDtsiG2F2Pje_lugPtEtYqdmF6zltM4Ax0JoglcPft6RPb3ER08rPmtluRUtuLRrHFC1yeFmRUIsK-ZFMIfuxLfHHcCvFE2RmKYOdQaWEFV9BOx4PmmCPpIUN_PTITGUULAloSOmd5vLqTpoCgEyULcMbjHGr9hk3fenAc-0nR8odJVED1jcb17YHxVnzDkCeLDSLcm2y7VIuRGZd2E4Dmq86XD7aHiJYFu6WVycc7AX8HMB7MNFQRDT54nBAVwap&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=ZAPnMKqU%2Bh54iFtOJkn%2B0g%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Service","Jakarta, Jakarta, Indonesia","1 month ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","",""
"1726207400-5","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic Trainee (ADT)Mechanic Trainee (ADT)","https://www.linkedin.com/jobs/view/3977671419/?eBP=CwEAAAGR6d_yy_L-Qv-PVpvP4H-aWakxtV3QnaA5llvUEHonQDg80o_Tj6Rvu7gqUkZuTyC-K3rKdn8k1XPWaHgOrdMXzEuMyLSaQIztfTSeH9y415Qv0j_sXQhKsweI7LRPSRuRqINnxP1KWYl3iw1avPHYeITEQ2mivaBoDuDvVZNMz9PR59gLENdyNFaqPq-zSR8sLvwWsbKbel53T60O07beadEOEFXQs7VdOrmzuylyKWPpDg71PqJFO4K3FqAgKm3DPMooHaBieRDCOH7SEnwBYyn8kD2wnPksRIaQ3rRb5qH25WZmad5wRNTPq_kCIQWkKdYGtT3t2M6-ovBVL990HsUz7yp1vg95UnKwfmVc4ipKCmwVSKYpd2uzcSfR1iuMftRdctmvxahCAZeTe8gr01QmW_jb4ElI4M-UxVYWwOdPu_Hnp-J1yNSv8jBEqZ9D0MohRDxw&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=PxQm1wTI36YfJqGcCyF6Ug%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Trainee (ADT)","Jakarta, Jakarta, Indonesia","1 month ago","On-site
                              

                              
                                Full-time
                              

                              
                                Internship","",""
"1726207440-6","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","MEKANIK MOBIL AREA DENPASAR - BALIMEKANIK MOBIL AREA DENPASAR - BALI","https://www.linkedin.com/jobs/view/4022213696/?eBP=CwEAAAGR6d_yy_2QYL67LAnab2s7zsQjmdLlWdta8rIoxhXpdyBGYYAuPwq7TioR9LQ-Byx3rfxeZS7I3-439YYbtDEDraZSQPo3gsSRdeSe4bc1N6jOTx_mSjUFQvvN6LBtf0aCUTyBxpKWfi_MLV-XqZsxGI8QJgHukW5fNcHZccqnIuAkfQmTzS0A5YuoF2REwQrnxe5LvwXie9B8Y-5eqFM6TeGNmqBfYDeMY4nzHhaXEq2rKuWoEym0einp0rJNB2-1AdphXT7saY9ro8EWs2OHcrTKn1tKg6NLLjg4iJNqhyL90kE89QoI76TjssF_WmoBkuKWG4zbeWA2wfuB1_Iva3TOF3i0I4BRai5ewRE_JYBMXJCU71dQDbz6A3bCeIZbReuooCxE8ePmL1evwlfLdcO58Ag9lR4KaalshnGIveS2nA39x0sQFFsMOXSEwB7ZEARVj2EnlvadYaYm&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=CEIzy3yEKlIYDFWo2LmVJQ%3D%3D&trk=flagship3_search_srp_jobs","MEKANIK MOBIL AREA DENPASAR - BALI","Denpasar, Bali, Indonesia","1 day ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","MENYIAPKAN MOBIL UNTUK DI RENTAL MELAKUKAN PERBAIKAN/MEMERIKSA KEADAAN MOBIL MEMBERSIKAN SELURUH BODI MOBIL PERAWATAN MOBIL",""
"1726207482-7","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","MEKANIK MOBIL AREA DENPASAR - BALIMEKANIK MOBIL AREA DENPASAR - BALI","https://www.linkedin.com/jobs/view/4022214662/?eBP=CwEAAAGR6d_yygOWuXu-InfB8qxEudlzhcu746aJKuctPwCmc1-KkFJn41Ogu5zu7McnSKM1GC0p-MfxQTTI4ZayrKBz6mM_Aa3b0WDLT4G-wjAxXT0tn_0wFWM5lZfsFC3eAd1SC-QTLBgu_Z1oRCIRVndLqv-6Swzqf38Fv55ad_cVMAbYcYYmFuYXNlxZ_mnzKvkLiZEqBAycGt2zENaVDhuPJt6bxKrQemylfp9H7t3y7Dl2T4AVJYyxM9EoGZkIclouRkXdm8nXlSagbU_HARERvbJdx4Qayk08tgJz1QCy6LvTsE7XK3gcvrAlR_mSTj5EEUNwE2HJJ5Ji8iDzUuJ5fhEwteS_-7gTFeyr98BPv2YA0pYPnDcXGzwv8kYk5qTK9zd48YjEuXgTq2LjScsV-YWQpOxPu1Fog-_K4DSjQZENEWEYkAwjHe-1fWn3z5vbi2JO_C4-otl8mQNC&refId=OqJTEcCTYcb7%2BjDC6svARg%3D%3D&trackingId=53X9cigAfp7jehMGLdRpKQ%3D%3D&trk=flagship3_search_srp_jobs","MEKANIK MOBIL AREA DENPASAR - BALI","Denpasar, Bali, Indonesia","1 day ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","MENYIAPKAN MOBIL UNTUK DI RENTAL MELAKUKAN PERBAIKAN/MEMERIKSA KEADAAN MOBIL MEMBERSIKAN SELURUH BODI MOBIL PERAWATAN MOBIL",""
"1726207561-8","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Welder StaffWelder Staff","https://www.linkedin.com/jobs/view/3988906587/?eBP=CwEAAAGR6d5gdafU4PG6y4NlNEhfEplXHUyuOL3qYvy06vG-X8t6Kt2sHNRVqv7kT18TYWbsHGIPBi24ZWv5lJmdLK6DX0OPPMqJfB6vyI78kawZ5obGp3d-GJOI88O3vQiwR-m38nlvkb6SWy98JDcx9OIbCdYcYKe25rDKOrMmdvN_caX7pypqfOvricGfhqOdMxBlLS4ZPCZOw97EjlitnwS3ll8WiSt5C6T_f-UIHwQxkImyIJf2OjaFnbkGnI238_vaq3gR04vITqOTCCWkxUmt4iEw6-2b2L6bcKgFuDIhFPUa_1ncOTJ4FqW8s0SZkUa3mYDSmGc7vHeWjz8NM32WygOC3VL7f41hfDuCNyMbRAbrUh0pk0qZ3WmBTZ00epGmC_fvKQS3xNrq8w4QbeYcpU4RBU5Lgps6-RGVYj_OX7LKVNTn6LxXLZvnnPG26-IxYcndFmP1vMFS9JP3R2zDo1NlMX8i2qUidjgvQqrOBn8qTkI&refId=ws%2BdZiy8BZCb3FEoH5a7pw%3D%3D&trackingId=QmaaurnjQ0HizelMuTke9Q%3D%3D&trk=flagship3_search_srp_jobs","Welder Staff","Bogor, West Java, Indonesia","1 day ago","On-site
                              

                              
                                Contract","Laki - LakiUsia Maks. 30 thPendidikan Min. SMK Teknik Las / Jurusan LinearMemiliki Pengalaman min. 1 thMemiliki Sertifikasi (BLK) Juru Las (menjadi nilai lebih)Penempatan Citereup, BogorDapat Bergabung Segera","FCAW, Gas Metal Arc Welding (GMAW), and Welding"
"1726207607-9","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","Mechanic TruckMechanic Truck","https://www.linkedin.com/jobs/view/4001505165/?eBP=CwEAAAGR6d5gdRiblEMe0tWQ8A9h7-FhMojL9I5NcDUDe5oE64Vu-ahlkCrmRWlQn2n5XumBcF7FmVs8ss33iAuQTKCF8cFENOD8sptRVmraLcnmcnC8n5zY5aL4IHSorVqdNBfEnGke_TEoSb8kcCnhz5sFIHh0ra-XaV-UdeM25s6riEw7rEm31WPM0CMHrqn-RImTbxusbpgc3QKuyDK4QqTTcmfJgogSaFcJwVq1dV6N8UOI_sfyIiyDvxCvHSbi_vGm7se3RKG0g0g3zS_U9WTI369arE8hQXVIcZai2Sieq71QaOvzEKcBBeM-hAvXuGP-AwwUzO3_CTGfOO9aUVBm3QloTdM6yFBKI8FFbGV8h75hynpS_G4FqxKR3LhQaPV4sPmlu0sGnMw__PiMMgePq8R3afht5qQMPfa4CYixoRwCsYRiurJSo-gbmKgyfwvdDQJqhPtY0HOAU0MGVS4&refId=ws%2BdZiy8BZCb3FEoH5a7pw%3D%3D&trackingId=SUDU9FlS6HdqwfQPrzhBPQ%3D%3D&trk=flagship3_search_srp_jobs","Mechanic Truck","Jakarta, Jakarta, Indonesia","4 weeks ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","",""
"1726207666-10","https://www.linkedin.com/jobs/search/?currentJobId=3984543090&geoId=102478259&keywords=Mechanical&origin=JOB_SEARCH_PAGE_SEARCH_BUTTON&refresh=true","MEKANIK MOBIL AREA DENPASAR - BALIMEKANIK MOBIL AREA DENPASAR - BALI","https://www.linkedin.com/jobs/view/4022214667/?eBP=CwEAAAGR6d5gdXzegGu6jTSyWhzrjYMtPQ7da8X2KDcDP5joaQ7t9KkQPhIiEMLAvm9pZCWhSnnj-bKYfiG5r6HcTzSomuh6hriHoQ2lHwF7IKqXpeG2tOQ1564DcOy2aoCHrBMjDp2P02A9Xe73B3FrpcoHJIzIQWfxdNvFPZLS3nMNjwGFbMCWu4UpDQbe2qh66JJrc7s-BRii-pqSOfHsNyZuxqTqbIsha66gg2hf6UySedpv67xa2Q_mTiV9plwBeaxQoyhmCutdKukeRnfkTCAkKg9lhsWnk274NKVDKOg1xykHhYSc5VckHVcvaycxlYEd6Nu-YkxjuoqK6YO16-yRCxCwBCwCeH1vblXaB8D-APzWMDJiy6kvzjv7NKCulGdvQgcrNXSNXly6VHEk7JtlpuaIPU-dth6suQ-efYgq8co4oZZMt6gqUMd1n4ntgWOnEhF_iHuPVHKtZ_ZQ&refId=ws%2BdZiy8BZCb3FEoH5a7pw%3D%3D&trackingId=R5uN4QqECV9bm1uRtW6QJQ%3D%3D&trk=flagship3_search_srp_jobs","MEKANIK MOBIL AREA DENPASAR - BALI","Denpasar, Bali, Indonesia","1 day ago","On-site
                              

                              
                                Full-time
                              

                              
                                Entry level","MENYIAPKAN MOBIL UNTUK DI RENTAL MELAKUKAN PERBAIKAN/MEMERIKSA KEADAAN MOBIL MEMBERSIKAN SELURUH BODI MOBIL PERAWATAN MOBIL","CATIA, English, Maintenance, Mechanical Engineering, and Teamwork"
